conceptId	en	latin_ta	english_ta	current_ru	old_status	suggested_ru	decision	final_ru	reason
FMA4877	right superior intercostal vein	vena intercostalis superior dextra	right superior intercostal vein	Правый верхняя межрёберная вена	FIX	Правая верхняя межрёберная вена	SAFE_FIX	Правая верхняя межрёберная вена	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA4950	left ascending lumbar vein	vena lumbalis ascendens sinistra	left ascending lumbar vein	Левый восходящая поясничная вена	FIX	Левая восходящая поясничная вена	SAFE_FIX	Левая восходящая поясничная вена	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA4951	left subcostal vein	vena subcostalis sinistra	left subcostal vein	Левый подрёберная вена	FIX	Левая подрёберная вена	SAFE_FIX	Левая подрёберная вена	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA7260	anterior papillary muscle of right ventricle	musculus papillaris anterior ventriculi dextri	anterior papillary muscle of right ventricle	Передняя сосочковая мышца правого желудочка	NEEDS_EXTERNAL_REVIEW		KEEP	Передняя сосочковая мышца правого желудочка	Current Russian term is grammatical and preserves the exact TA2 structure; prior QA flag was conservative.
FMA7261	posterior papillary muscle of right ventricle	musculus papillaris inferior ventriculi dextri	inferior papillary muscle of right ventricle	Задняя сосочковая мышца правый желудочек	NEEDS_EXTERNAL_REVIEW		SAFE_FIX	Задняя сосочковая мышца правого желудочка	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA7262	septal papillary muscle of right ventricle	musculus papillaris septalis ventriculi dextri	septal papillary muscle of right ventricle	Перегородочная сосочковая мышца правый желудочек	NEEDS_EXTERNAL_REVIEW		SAFE_FIX	Перегородочная сосочковая мышца правого желудочка	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA7396	left main bronchus	bronchus principalis sinister	left main bronchus	Левый главный бронх	NEEDS_EXTERNAL_REVIEW		KEEP	Левый главный бронх	Current Russian term is grammatical and preserves the exact TA2 structure; prior QA flag was conservative.
FMA7574	rib	costa	rib	Ребро	NEEDS_EXTERNAL_REVIEW		KEEP	Ребро	Current Russian term is grammatical and preserves the exact TA2 structure; prior QA flag was conservative.
FMA7591	costal cartilage	cartilago costalis	costal cartilage	Рёберная хрящ	FIX	рёберный хрящ	SAFE_FIX	Рёберный хрящ	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA7597	first rib	costa prima	first rib	Первая ребро	FIX	первое ребро	SAFE_FIX	Первое ребро	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA7620	second rib	costa secunda	second rib	Вторая ребро	FIX	второе ребро	SAFE_FIX	Второе ребро	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA14335	right renal vein	vena renalis dextra	right renal vein	Правый почечная вена	FIX	Правая почечная вена	SAFE_FIX	Правая почечная вена	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA14336	left renal vein	vena renalis sinistra	left renal vein	Левый почечная вена	FIX	Левая почечная вена	SAFE_FIX	Левая почечная вена	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA14338	right hepatic vein	vena hepatica dextra	right hepatic vein	Правый печёночная вена	FIX	Правая печёночная вена	SAFE_FIX	Правая печёночная вена	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA14339	left hepatic vein	vena hepatica sinistra	left hepatic vein	Левый печёночная вена	FIX	Левая печёночная вена	SAFE_FIX	Левая печёночная вена	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA14341	right testicular vein	vena testicularis dextra	right testicular vein	Правый яичковая вена	FIX	Правая яичковая вена	SAFE_FIX	Правая яичковая вена	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA14343	right suprarenal vein	vena suprarenalis dextra	right suprarenal vein	Правый надпочечниковая вена	FIX	Правая надпочечниковая вена	SAFE_FIX	Правая надпочечниковая вена	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA14345	left testicular vein	vena testicularis sinistra	left testicular vein	Левый яичковая вена	FIX	Левая яичковая вена	SAFE_FIX	Левая яичковая вена	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA14349	left suprarenal vein	vena suprarenalis sinistra	left suprarenal vein	Левый надпочечниковая вена	FIX	Левая надпочечниковая вена	SAFE_FIX	Левая надпочечниковая вена	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA14669	right hepatic duct	ductus hepaticus dexter	right hepatic duct	Правый печёночная проток	NEEDS_EXTERNAL_REVIEW		SAFE_FIX	Правый печёночный проток	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA14670	left hepatic duct	ductus hepaticus sinister	left hepatic duct	Левый печёночная проток	NEEDS_EXTERNAL_REVIEW		SAFE_FIX	Левый печёночный проток	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA14768	left gastric artery	arteria gastrica sinistra	left gastric artery	Левый желудочная артерия	FIX	Левая желудочная артерия	SAFE_FIX	Левая желудочная артерия	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA14776	right gastric artery	arteria gastrica dextra	right gastric artery	Правый желудочная артерия	FIX	Правая желудочная артерия	SAFE_FIX	Правая желудочная артерия	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA14811	right colic artery	arteria colica dextra	right colic artery	Правый ободочная артерия	FIX	Правая ободочная артерия	SAFE_FIX	Правая ободочная артерия	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA14818	appendicular artery	arteria appendicularis	appendicular artery	Артерия червеобразного отростка	NEEDS_EXTERNAL_REVIEW		KEEP	Артерия червеобразного отростка	Current Russian term is grammatical and preserves the exact TA2 structure; prior QA flag was conservative.
FMA14826	left colic artery	arteria colica sinistra	left colic artery	Левый ободочная артерия	FIX	Левая ободочная артерия	SAFE_FIX	Левая ободочная артерия	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA14828	ascending branch of left colic artery	ramus ascendens arteriae colicae sinistrae	ascending branch of left colic artery	Восходящая ветвь левой ободочной артерии	NEEDS_EXTERNAL_REVIEW		KEEP	Восходящая ветвь левой ободочной артерии	Current Russian term is grammatical and preserves the exact TA2 structure; prior QA flag was conservative.
FMA14829	descending branch of left colic artery	ramus descendens arteriae colicae sinistrae	descending branch of left colic artery	Нисходящая ветвь левый ободочная артерия	FIX	Нисходящая ветвь Левая ободочная артерия	SAFE_FIX	Нисходящая ветвь левой ободочной артерии	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA15394	left colic vein	vena colica sinistra	left colic vein	Левый ободочная вена	FIX	Левая ободочная вена	SAFE_FIX	Левая ободочная вена	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA15399	left gastric vein	vena gastrica sinistra	left gastric vein	Левый желудочная вена	FIX	Левая желудочная вена	SAFE_FIX	Левая желудочная вена	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA15400	right gastric vein	vena gastrica dextra	right gastric vein	Правый желудочная вена	FIX	Правая желудочная вена	SAFE_FIX	Правая желудочная вена	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA15407	right colic vein	vena colica dextra	right colic vein	Правый ободочная вена	FIX	Правая ободочная вена	SAFE_FIX	Правая ободочная вена	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA20805	descending branch of lateral circumflex femoral artery	ramus descendens arteriae circumflexae lateralis femoris	descending branch of lateral circumflex femoral artery	Нисходящая ветвь латеральная огибающая бедренная артерия	NEEDS_EXTERNAL_REVIEW		SAFE_FIX	Нисходящая ветвь латеральной огибающей бедренной артерии	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA21354	deep dorsal vein of penis	vena dorsalis profunda penis	deep dorsal vein of penis	Глубокая тыльная вена половой член	NEEDS_EXTERNAL_REVIEW		SAFE_FIX	Глубокая тыльная вена полового члена	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA22423	tensor fasciae latae	tensor fasciae latae	tensor fasciae latae	Напрягатель фаскиаэ латаэ	FIX	мышца, напрягающая широкую фасцию	SAFE_FIX	Мышца, напрягающая широкую фасцию	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA22533	extensor hallucis longus	extensor longus hallucis	extensor hallucis longus	Разгибатель большого пальца стопы длинная	NEEDS_EXTERNAL_REVIEW		SAFE_FIX	Длинная мышца, разгибающая большой палец стопы	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA22593	flexor hallucis longus	flexor longus hallucis	flexor hallucis longus	Сгибатель большого пальца стопы длинная	NEEDS_EXTERNAL_REVIEW		SAFE_FIX	Длинная мышца, сгибающая большой палец стопы	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA22680	anterior circumflex humeral artery	arteria circumflexa anterior humeri	anterior circumflex humeral artery	Передняя артерия, огибающая плечевую кость	NEEDS_EXTERNAL_REVIEW		KEEP	Передняя артерия, огибающая плечевую кость	Current Russian term is grammatical and preserves the exact TA2 structure; prior QA flag was conservative.
FMA22684	posterior circumflex humeral artery	arteria circumflexa posterior humeri	posterior circumflex humeral artery	Задняя артерия, огибающая плечевую кость	NEEDS_EXTERNAL_REVIEW		KEEP	Задняя артерия, огибающая плечевую кость	Current Russian term is grammatical and preserves the exact TA2 structure; prior QA flag was conservative.
FMA22755	dorsal carpal branch of radial artery	ramus carpeus dorsalis arteriae radialis	dorsal carpal branch of radial artery	Тыльная запястная кость ветвь лучевая артерия	NEEDS_EXTERNAL_REVIEW		SAFE_FIX	Тыльная запястная ветвь лучевой артерии	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA22820	dorsal carpal branch of ulnar artery	ramus carpeus dorsalis arteriae ulnaris	dorsal carpal branch of ulnar artery	Тыльная запястная кость ветвь локтевая артерия	NEEDS_EXTERNAL_REVIEW		SAFE_FIX	Тыльная запястная ветвь локтевой артерии	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA37373	abductor pollicis brevis	abductor brevis pollicis	abductor pollicis brevis	Короткая мышца, отводящая большой палец кисти	NEEDS_EXTERNAL_REVIEW		KEEP	Короткая мышца, отводящая большой палец кисти	Current Russian term is grammatical and preserves the exact TA2 structure; prior QA flag was conservative.
FMA37378	flexor pollicis brevis	flexor brevis pollicis	flexor pollicis brevis	Сгибатель большого пальца кисти короткая	NEEDS_EXTERNAL_REVIEW		SAFE_FIX	Короткая мышца, сгибающая большой палец кисти	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA37448	abductor hallucis	abductor hallucis	abductor hallucis	Мышца, отводящая большой палец стопы	NEEDS_EXTERNAL_REVIEW		KEEP	Мышца, отводящая большой палец стопы	Current Russian term is grammatical and preserves the exact TA2 structure; prior QA flag was conservative.
FMA37682	short head of biceps brachii	caput breve musculi bicipitis brachii	short head of biceps brachii	Короткая головка двуглавая мышца плеча	NEEDS_EXTERNAL_REVIEW		SAFE_FIX	Короткая головка двуглавой мышцы плеча	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA37683	long head of biceps brachii	caput longum musculi bicipitis brachii	long head of biceps brachii	Длинная головка двуглавая мышца плеча	NEEDS_EXTERNAL_REVIEW		SAFE_FIX	Длинная головка двуглавой мышцы плеча	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA37692	long head of triceps brachii	caput longum musculi tricipitis brachii	long head of triceps brachii	Длинная головка трёхглавая мышца плеча	NEEDS_EXTERNAL_REVIEW		SAFE_FIX	Длинная головка трёхглавой мышцы плеча	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA37693	medial head of triceps brachii	caput mediale musculi tricipitis brachii	medial head of triceps brachii	Медиальная головка трёхглавая мышца плеча	NEEDS_EXTERNAL_REVIEW		SAFE_FIX	Медиальная головка трёхглавой мышцы плеча	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA37694	lateral head of triceps brachii	caput laterale musculi tricipitis brachii	lateral head of triceps brachii	Латеральная головка трёхглавая мышца плеча	NEEDS_EXTERNAL_REVIEW		SAFE_FIX	Латеральная головка трёхглавой мышцы плеча	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA38481	flexor pollicis longus	flexor longus pollicis	flexor pollicis longus	Сгибатель большого пальца кисти длинная	NEEDS_EXTERNAL_REVIEW		SAFE_FIX	Длинная мышца, сгибающая большой палец кисти	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA38494	extensor carpi radialis longus	extensor radialis longus carpi	extensor carpi radialis longus	Длинная лучевая мышца, разгибающая запястье	NEEDS_EXTERNAL_REVIEW		KEEP	Длинная лучевая мышца, разгибающая запястье	Current Russian term is grammatical and preserves the exact TA2 structure; prior QA flag was conservative.
FMA38497	extensor carpi radialis brevis	extensor radialis brevis carpi	extensor carpi radialis brevis	Короткая лучевая мышца, разгибающая запястье	NEEDS_EXTERNAL_REVIEW		KEEP	Короткая лучевая мышца, разгибающая запястье	Current Russian term is grammatical and preserves the exact TA2 structure; prior QA flag was conservative.
FMA38515	abductor pollicis longus	abductor longus pollicis	abductor pollicis longus	Длинная мышца, отводящая большой палец кисти	NEEDS_EXTERNAL_REVIEW		KEEP	Длинная мышца, отводящая большой палец кисти	Current Russian term is grammatical and preserves the exact TA2 structure; prior QA flag was conservative.
FMA38518	extensor pollicis brevis	extensor brevis pollicis	extensor pollicis brevis	Разгибатель большого пальца кисти короткая	NEEDS_EXTERNAL_REVIEW		SAFE_FIX	Короткая мышца, разгибающая большой палец кисти	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA38521	extensor pollicis longus	extensor longus pollicis	extensor pollicis longus	Разгибатель большого пальца кисти длинная	NEEDS_EXTERNAL_REVIEW		SAFE_FIX	Длинная мышца, разгибающая большой палец кисти	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA38615	humeral head of flexor carpi ulnaris	caput humerale flexoris ulnaris carpi	humeral head of flexor carpi ulnaris	Плечевая головка локтевого сгибателя запястья	NEEDS_EXTERNAL_REVIEW		KEEP	Плечевая головка локтевого сгибателя запястья	Current Russian term is grammatical and preserves the exact TA2 structure; prior QA flag was conservative.
FMA38616	ulnar head of flexor carpi ulnaris	caput ulnare flexoris ulnaris carpi	ulnar head of flexor carpi ulnaris	Локтевая головка сгибатель кисти улнарис	NEEDS_EXTERNAL_REVIEW		REVIEW		Russian normative equivalent still requires external source verification.
FMA45887	long head of biceps femoris	caput longum musculi bicipitis femoris	long head of biceps femoris	Длинная головка двуглавая мышца бедра	NEEDS_EXTERNAL_REVIEW		SAFE_FIX	Длинная головка двуглавой мышцы бедра	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA45890	short head of biceps femoris	caput breve musculi bicipitis femoris	short head of biceps femoris	Короткая головка двуглавая мышца бедра	NEEDS_EXTERNAL_REVIEW		SAFE_FIX	Короткая головка двуглавой мышцы бедра	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA45969	medial head of flexor hallucis brevis	caput mediale flexoris brevis hallucis	medial head of flexor hallucis brevis	Медиальная головка сгибатель большого пальца стопы короткая	NEEDS_EXTERNAL_REVIEW		SAFE_FIX	Медиальная головка короткого сгибателя большого пальца стопы	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA45970	lateral head of flexor hallucis brevis	caput laterale flexoris brevis hallucis	lateral head of flexor hallucis brevis	Латеральная головка сгибатель большого пальца стопы короткая	NEEDS_EXTERNAL_REVIEW		SAFE_FIX	Латеральная головка короткого сгибателя большого пальца стопы	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA46014	oblique head of adductor hallucis	caput obliquum adductoris hallucis	oblique head of adductor hallucis	Косая мышца головка приводящая мышца большого пальца стопы	NEEDS_EXTERNAL_REVIEW		SAFE_FIX	Косая головка приводящей мышцы большого пальца стопы	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA46015	transverse head of adductor hallucis	caput transversum adductoris hallucis	transverse head of adductor hallucis	Поперечная головка приводящая мышца большого пальца стопы	NEEDS_EXTERNAL_REVIEW		SAFE_FIX	Поперечная головка приводящей мышцы большого пальца стопы	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA46104	superficial head of flexor pollicis brevis	caput superficiale flexoris brevis pollicis	superficial head of flexor pollicis brevis	Поверхностная головка сгибатель большого пальца кисти короткая	NEEDS_EXTERNAL_REVIEW		SAFE_FIX	Поверхностная головка короткого сгибателя большого пальца кисти	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA46119	oblique head of adductor pollicis	caput obliquum adductoris pollicis	oblique head of adductor pollicis	Косая мышца головка приводящая мышца большого пальца кисти	NEEDS_EXTERNAL_REVIEW		SAFE_FIX	Косая головка приводящей мышцы большого пальца кисти	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA46120	transverse head of adductor pollicis	caput transversum adductoris pollicis	transverse head of adductor pollicis	Поперечная головка приводящая мышца большого пальца кисти	NEEDS_EXTERNAL_REVIEW		SAFE_FIX	Поперечная головка приводящей мышцы большого пальца кисти	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA46442	tendinous arch of levator ani	arcus tendineus levatoris ani	tendinous arch of levator ani	Сухожильная дуга мышца, поднимающая ани	NEEDS_EXTERNAL_REVIEW		REVIEW		Russian normative equivalent still requires external source verification.
FMA49911	right inferior pulmonary vein	vena pulmonalis dextra inferior	right inferior pulmonary vein	Правый нижняя лёгочный вена	FIX	Правая нижняя лёгочный вена	SAFE_FIX	Правая нижняя лёгочная вена	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA49913	left inferior pulmonary vein	vena pulmonalis sinistra inferior	left inferior pulmonary vein	Левый нижняя лёгочный вена	FIX	Левая нижняя лёгочный вена	SAFE_FIX	Левая нижняя лёгочная вена	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA49914	right superior pulmonary vein	vena pulmonalis dextra superior	right superior pulmonary vein	Правый верхняя лёгочный вена	FIX	Правая верхняя лёгочный вена	SAFE_FIX	Правая верхняя лёгочная вена	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA49916	left superior pulmonary vein	vena pulmonalis sinistra superior	left superior pulmonary vein	Левый верхняя лёгочный вена	FIX	Левая верхняя лёгочный вена	SAFE_FIX	Левая верхняя лёгочная вена	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA50590	precommunicating part of posterior cerebral artery	pars precommunicans arteriae posterioris cerebri	precommunicating part of posterior cerebral artery	Прэкоммуникатинг часть задняя мозговая артерия	NEEDS_EXTERNAL_REVIEW		REVIEW		Russian normative equivalent still requires external source verification.
FMA50872	right pulmonary artery	arteria pulmonalis dextra	right pulmonary artery	Правый лёгочный артерия	FIX	Правая лёгочный артерия	SAFE_FIX	Правая лёгочная артерия	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA50873	left pulmonary artery	arteria pulmonalis sinistra	left pulmonary artery	Левый лёгочный артерия	FIX	Левая лёгочный артерия	SAFE_FIX	Левая лёгочная артерия	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA51141	extensor hallucis brevis	extensor brevis hallucis	extensor hallucis brevis	Разгибатель большого пальца стопы короткая	NEEDS_EXTERNAL_REVIEW		SAFE_FIX	Короткая мышца, разгибающая большой палец стопы	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA65132	nerve	nervus	nerve	Нерв	NEEDS_EXTERNAL_REVIEW		KEEP	Нерв	Current Russian term is grammatical and preserves the exact TA2 structure; prior QA flag was conservative.
FMA77499	anterior circumflex humeral vein	vena circumflexa anterior humeri	anterior circumflex humeral vein	Передняя вена, огибающая плечевую кость	NEEDS_EXTERNAL_REVIEW		KEEP	Передняя вена, огибающая плечевую кость	Current Russian term is grammatical and preserves the exact TA2 structure; prior QA flag was conservative.
FMA3862	anterior interventricular branch of left coronary artery	arteria interventricularis anterior	anterior interventricular artery	Передняя межжелудочковая ветвь левой коронарной артерии	NEEDS_EXTERNAL_REVIEW		KEEP	Передняя межжелудочковая ветвь левой коронарной артерии	Current Russian term is grammatical and preserves the exact TA2 structure; prior QA flag was conservative.
FMA7096	right atrium	atrium dextrum	right atrium	Правое предсердие	NEEDS_EXTERNAL_REVIEW		KEEP	Правое предсердие	Current Russian term is grammatical and preserves the exact TA2 structure; prior QA flag was conservative.
FMA7097	left atrium	atrium sinistrum	left atrium	Левое предсердие	NEEDS_EXTERNAL_REVIEW		KEEP	Левое предсердие	Current Russian term is grammatical and preserves the exact TA2 structure; prior QA flag was conservative.
FMA7098	right ventricle	ventriculus dexter	right ventricle	Правый желудочек	NEEDS_EXTERNAL_REVIEW		KEEP	Правый желудочек	Current Russian term is grammatical and preserves the exact TA2 structure; prior QA flag was conservative.
FMA7101	left ventricle	ventriculus sinister	left ventricle	Левый желудочек	NEEDS_EXTERNAL_REVIEW		KEEP	Левый желудочек	Current Russian term is grammatical and preserves the exact TA2 structure; prior QA flag was conservative.
FMA7309	right lung	pulmo dexter	right lung	Правый лёгкое	NEEDS_EXTERNAL_REVIEW		SAFE_FIX	Правое лёгкое	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA7310	left lung	pulmo sinister	left lung	Левый лёгкое	NEEDS_EXTERNAL_REVIEW		SAFE_FIX	Левое лёгкое	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA7395	right main bronchus	bronchus principalis dexter	right main bronchus	Правый главный бронх	NEEDS_EXTERNAL_REVIEW		KEEP	Правый главный бронх	Current Russian term is grammatical and preserves the exact TA2 structure; prior QA flag was conservative.
FMA7480	rib cage	skeleton thoracis	thoracic skeleton	Ребро кагэ	NEEDS_EXTERNAL_REVIEW		REVIEW		Russian normative equivalent still requires external source verification.
FMA7485	sternum	sternum	sternum	Грудина	NEEDS_EXTERNAL_REVIEW		KEEP	Грудина	Current Russian term is grammatical and preserves the exact TA2 structure; prior QA flag was conservative.
FMA13362	right lobe of liver	lobus dexter hepatis	right lobe of liver	Правый доля печень	NEEDS_EXTERNAL_REVIEW		SAFE_FIX	Правая доля печени	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA13363	left lobe of liver	lobus sinister hepatis	left lobe of liver	Левый доля печень	NEEDS_EXTERNAL_REVIEW		SAFE_FIX	Левая доля печени	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA14778	right hepatic artery	arteria hepatica dextra	right hepatic artery	Правый печёночная артерия	FIX	Правая печёночная артерия	SAFE_FIX	Правая печёночная артерия	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA14779	left hepatic artery	arteria hepatica sinistra	left hepatic artery	Левый печёночная артерия	FIX	Левая печёночная артерия	SAFE_FIX	Левая печёночная артерия	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA50039	right coronary artery	arteria coronaria dextra	right coronary artery	Правый коронарная артерия	FIX	Правая коронарная артерия	SAFE_FIX	Правая коронарная артерия	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
FMA50040	left coronary artery	arteria coronaria sinistra	left coronary artery	Левый коронарная артерия	FIX	Левая коронарная артерия	SAFE_FIX	Левая коронарная артерия	TA2 exact structure; current Russian form has an unambiguous grammar, case, laterality, or terminology defect.
