conceptId	en	latin_ta	english_ta	mapping_status	current_ru	decision	final_ru	reason	confidence
FMA3815	first anterior ventricular branch of right coronary artery			NO_MATCH	Первая передняя желудочковая ветвь правый коронарная артерия	APPLY	Первая передняя желудочковая ветвь Правая коронарная артерия	Candidate from QA (laterality); requires final Russian terminology review before application.	MEDIUM
FMA3818	marginal branch of right coronary artery			NO_MATCH	Краевая ветвь правый коронарная артерия	APPLY	Краевая ветвь Правая коронарная артерия	Candidate from QA (laterality); requires final Russian terminology review before application.	MEDIUM
FMA3835	posterior ventricular branch of right coronary artery			NO_MATCH	Задняя желудочковая ветвь правый коронарная артерия	APPLY	Задняя желудочковая ветвь Правая коронарная артерия	Candidate from QA (laterality); requires final Russian terminology review before application.	MEDIUM
FMA3837	first posterior ventricular branch of right coronary artery			NO_MATCH	Первая задняя желудочковая ветвь правый коронарная артерия	APPLY	Первая задняя желудочковая ветвь Правая коронарная артерия	Candidate from QA (laterality); requires final Russian terminology review before application.	MEDIUM
FMA3840	posterior interventricular branch of right coronary artery	arteria interventricularis inferior	inferior interventricular artery	EXACT	Задняя межжелудочковая ветвь правый коронарная артерия	APPLY	Задняя межжелудочковая ветвь правой коронарной артерии	Exact TA2 mapping and unambiguous Russian correction; no source information is lost.	HIGH
FMA3845	septal branch of right posterior interventricular artery			NO_MATCH	Перегородочная ветвь правый задняя межжелудочковая артерия	APPLY	Перегородочная ветвь Правая задняя межжелудочковая артерия	Candidate from QA (laterality); requires final Russian terminology review before application.	MEDIUM
FMA3847	first septal branch of right posterior interventricular artery			NO_MATCH	Первая перегородочная ветвь правый задняя межжелудочковая артерия	APPLY	Первая перегородочная ветвь Правая задняя межжелудочковая артерия	Candidate from QA (laterality); requires final Russian terminology review before application.	MEDIUM
FMA3848	second septal branch of right posterior interventricular artery			NO_MATCH	Вторая перегородочная ветвь правый задняя межжелудочковая артерия	APPLY	Вторая перегородочная ветвь Правая задняя межжелудочковая артерия	Candidate from QA (laterality); requires final Russian terminology review before application.	MEDIUM
FMA3855	trunk of left coronary artery			NO_MATCH	Туловище левый коронарная артерия	APPLY	Туловище Левое коронарная артерия	Candidate from QA (laterality); requires final Russian terminology review before application.	MEDIUM
FMA3860	diagonal branch of anterior descending branch of left coronary artery			NO_MATCH	Диагональная ветвь передняя нисходящая ветвь левый коронарная артерия	APPLY	Диагональная ветвь передняя нисходящая ветвь Левая коронарная артерия	Candidate from QA (laterality); requires final Russian terminology review before application.	MEDIUM
FMA3868	conus branch of anterior interventricular branch of left coronary artery			NO_MATCH	Конус ветвь передняя межжелудочковая ветвь левый коронарная артерия	APPLY	Конус ветвь передняя межжелудочковая ветвь Левая коронарная артерия	Candidate from QA (laterality); requires final Russian terminology review before application.	MEDIUM
FMA3870	right anterior branch of anterior interventricular branch of left coronary artery			NO_MATCH	Правый передняя ветвь передняя межжелудочковая ветвь левый коронарная артерия	APPLY	Правая передняя ветвь передняя межжелудочковая ветвь Левая коронарная артерия	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA3872	first right anterior branch of anterior interventricular branch of left coronary artery			NO_MATCH	Первая правый передняя ветвь передняя межжелудочковая ветвь левый коронарная артерия	APPLY	Первая Правая передняя ветвь передняя межжелудочковая ветвь Левая коронарная артерия	Candidate from QA (laterality); requires final Russian terminology review before application.	MEDIUM
FMA3874	second right anterior branch of anterior interventricular branch of left coronary artery			NO_MATCH	Вторая правый передняя ветвь передняя межжелудочковая ветвь левый коронарная артерия	APPLY	Вторая Правая передняя ветвь передняя межжелудочковая ветвь Левая коронарная артерия	Candidate from QA (laterality); requires final Russian terminology review before application.	MEDIUM
FMA3876	third right anterior branch of anterior interventricular branch of left coronary artery			NO_MATCH	Третья правый передняя ветвь передняя межжелудочковая ветвь левый коронарная артерия	APPLY	Третья Правая передняя ветвь передняя межжелудочковая ветвь Левая коронарная артерия	Candidate from QA (laterality); requires final Russian terminology review before application.	MEDIUM
FMA3892	septal branch of anterior interventricular artery			NO_MATCH	Перегородочная ветвь передняя межжелудочковая артерия	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA3895	circumflex branch of left coronary artery	arteria circumflexa cordis	circumflex artery of heart	EXACT	Огибающая ветвь левый коронарная артерия	APPLY	Огибающая ветвь левой коронарной артерии	Exact TA2 mapping and unambiguous Russian correction; no source information is lost.	HIGH
FMA3932	brachiocephalic artery			NO_MATCH	Плечеголовной ствол	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA3939	common carotid artery	carotis communis 	common carotid artery	EXACT	Общая сонная артерия	KEEP	Общая сонная артерия	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA3941	right common carotid artery	carotis communis dextra	right common carotid artery	EXACT	Правый общая сонная артерия	APPLY	Правая общая сонная артерия	Exact TA2 mapping and unambiguous Russian correction; no source information is lost.	HIGH
FMA3947	internal carotid artery	carotis interna	internal carotid artery	EXACT	Внутренняя сонная артерия	KEEP	Внутренняя сонная артерия	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA3949	right internal carotid artery	carotis interna	internal carotid artery	PROBABLE	Правый внутренняя сонная артерия	APPLY	Правая внутренняя сонная артерия	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA3951	subclavian artery	arteria subclavia	subclavian artery	EXACT	Подключичная артерия	KEEP	Подключичная артерия	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA3953	right subclavian artery	arteria subclavia dextra	right subclavian artery	EXACT	Правый подключичная артерия	APPLY	Правая подключичная артерия	Exact TA2 mapping and unambiguous Russian correction; no source information is lost.	HIGH
FMA3956	vertebral artery	arteria vertebralis	vertebral artery	EXACT	Позвоночная артерия	KEEP	Позвоночная артерия	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA3958	right vertebral artery	arteria vertebralis	vertebral artery	PROBABLE	Правый позвоночная артерия	APPLY	Правая позвоночная артерия	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA3960	internal thoracic artery	arteria thoracica interna	internal thoracic artery	EXACT	Внутренняя грудная артерия	KEEP	Внутренняя грудная артерия	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA3969	right internal thoracic artery	arteria thoracica interna	internal thoracic artery	PROBABLE	Правый внутренняя грудная артерия	APPLY	Правая внутренняя грудная артерия	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA3988	right superior epigastric artery	arteria epigastrica superior	superior epigastric artery	PROBABLE	Правый верхняя надчревная артерия	APPLY	Правая верхняя надчревная артерия	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA3990	thyrocervical trunk	truncus thyreocervicalis	thyrocervical trunk	EXACT	Щитовидно-шейный туловище	KEEP	Щитовидно-шейный туловище	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA3992	right thyrocervical trunk	truncus thyreocervicalis	thyrocervical trunk	PROBABLE	Правый щитовидно-шейный туловище	APPLY	Правое щитовидно-шейный туловище	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA3994	second posterior intercostal artery	arteria intercostalis posterior secunda	second posterior intercostal artery	EXACT	Вторая задняя межрёберная артерия	KEEP	Вторая задняя межрёберная артерия	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA4057	right dorsal scapular artery	arteria dorsalis scapulae	dorsal scapular artery	PROBABLE	Правый тыльная лопаточная артерия	APPLY	Правая тыльная лопаточная артерия	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA4058	left common carotid artery	carotis communis sinistra	left common carotid artery	EXACT	Левый общая сонная артерия	APPLY	Левая общая сонная артерия	Exact TA2 mapping and unambiguous Russian correction; no source information is lost.	HIGH
FMA4062	left internal carotid artery	carotis interna	internal carotid artery	PROBABLE	Левый внутренняя сонная артерия	APPLY	Левая внутренняя сонная артерия	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA4066	left vertebral artery	arteria vertebralis	vertebral artery	PROBABLE	Левый позвоночная артерия	APPLY	Левая позвоночная артерия	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA4068	left internal thoracic artery	arteria thoracica interna	internal thoracic artery	PROBABLE	Левый внутренняя грудная артерия	APPLY	Левая внутренняя грудная артерия	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA4077	left musculophrenic artery	arteria musculophrenica	musculophrenic artery	PROBABLE	Левый мышечно-диафрагмальная артерия	APPLY	Левая мышечно-диафрагмальная артерия	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA4083	left superior epigastric artery	arteria epigastrica superior	superior epigastric artery	PROBABLE	Левый верхняя надчревная артерия	APPLY	Левая верхняя надчревная артерия	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA4084	left thyrocervical trunk	truncus thyreocervicalis	thyrocervical trunk	PROBABLE	Левый щитовидно-шейный туловище	APPLY	Левое щитовидно-шейный туловище	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA4086	left costocervical trunk	truncus costocervicalis	costocervical trunk	PROBABLE	Левый рёберно-шейный туловище	APPLY	Левое рёберно-шейный туловище	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA4088	left superior intercostal artery			NO_MATCH	Левый верхняя межрёберная артерия	APPLY	Левая верхняя межрёберная артерия	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA4112	left second posterior intercostal artery	arteria intercostalis posterior secunda	second posterior intercostal artery	PROBABLE	Левый вторая задняя межрёберная артерия	APPLY	Левая вторая задняя межрёберная артерия	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA4134	left deep cervical artery	arteria cervicalis profunda	deep cervical artery	PROBABLE	Левый глубокая шейная артерия	APPLY	Левая глубокая шейная артерия	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA4149	esophageal artery			NO_MATCH	Пищеводная артерия	KEEP	Пищеводная артерия	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA4176	posterior intercostal artery	arteria intercostalis posterior	posterior intercostal artery	EXACT	Задняя межрёберная артерия	KEEP	Задняя межрёберная артерия	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA4613	subcostal artery	arteria subcostalis	subcostal artery	EXACT	Подрёберная артерия	KEEP	Подрёберная артерия	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA4634	right subcostal artery	arteria subcostalis	subcostal artery	PROBABLE	Правый подрёберная артерия	APPLY	Правая подрёберная артерия	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA4654	left subcostal artery	arteria subcostalis	subcostal artery	PROBABLE	Левый подрёберная артерия	APPLY	Левая подрёберная артерия	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA4677	trunk of branch of coronary artery			NO_MATCH	Туловище ветвь коронарная артерия	KEEP	Туловище ветвь коронарная артерия	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA4694	left subclavian artery	arteria subclavia sinistra	left subclavian artery	EXACT	Левый подключичная артерия	APPLY	Левая подключичная артерия	Exact TA2 mapping and unambiguous Russian correction; no source information is lost.	HIGH
FMA4706	coronary sinus	sinus coronarius	coronary sinus	EXACT	Коронарная синус	KEEP	Коронарная синус	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA4707	great cardiac vein	vena magna cordis	great cardiac vein	EXACT	Большая сердечная вена	KEEP	Большая сердечная вена	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA4708	left marginal vein			NO_MATCH	Левый краевая вена	APPLY	Левая краевая вена	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA4712	posterior vein of left ventricle	vena inferior ventriculi sinistri	inferior vein of left ventricle	EXACT	Задняя вена левый желудочек	KEEP	Задняя вена левый желудочек	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA4713	middle cardiac vein	vena media cordis	middle cardiac vein	EXACT	Средняя сердечная вена	KEEP	Средняя сердечная вена	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA4714	small cardiac vein	vena parva cordis	small cardiac vein	EXACT	Малая сердечная вена	KEEP	Малая сердечная вена	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA4716	right marginal vein			NO_MATCH	Правый краевая вена	APPLY	Правая краевая вена	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA4720	superior vena cava	vena cava superior	superior vena cava	EXACT	Верхняя полая вена	KEEP	Верхняя полая вена	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA4723	brachiocephalic vein	vena brachiocephalica	brachiocephalic vein	EXACT	Плечеголовная вена	KEEP	Плечеголовная вена	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA4724	internal jugular vein	vena jugularis interna	internal jugular vein	EXACT	Внутренняя яремная вена	KEEP	Внутренняя яремная вена	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA4725	subclavian vein	vena subclavia	subclavian vein	EXACT	Подключичная вена	KEEP	Подключичная вена	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA4729	internal thoracic vein			NO_MATCH	Внутренняя грудная вена	KEEP	Внутренняя грудная вена	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA4731	superior epigastric vein			NO_MATCH	Верхняя надчревная вена	KEEP	Верхняя надчревная вена	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA4732	musculophrenic vein			NO_MATCH	Мышечно-диафрагмальная вена	KEEP	Мышечно-диафрагмальная вена	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA4751	right brachiocephalic vein	vena brachiocephalica dextra	right brachiocephalic vein	EXACT	Правый плечеголовная вена	APPLY	Правая плечеголовная вена	Exact TA2 mapping and unambiguous Russian correction; no source information is lost.	HIGH
FMA4754	right internal jugular vein	vena jugularis interna	internal jugular vein	PROBABLE	Правый внутренняя яремная вена	APPLY	Правая внутренняя яремная вена	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA4755	right subclavian vein	vena subclavia	subclavian vein	PROBABLE	Правый подключичная вена	APPLY	Правая подключичная вена	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA4758	right internal thoracic vein			NO_MATCH	Правый внутренняя грудная вена	APPLY	Правая внутренняя грудная вена	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA4761	left brachiocephalic vein	vena brachiocephalica sinistra	left brachiocephalic vein	EXACT	Левый плечеголовная вена	APPLY	Левая плечеголовная вена	Exact TA2 mapping and unambiguous Russian correction; no source information is lost.	HIGH
FMA4762	left internal jugular vein	vena jugularis interna	internal jugular vein	PROBABLE	Левый внутренняя яремная вена	APPLY	Левая внутренняя яремная вена	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA4763	left subclavian vein	vena subclavia	subclavian vein	PROBABLE	Левый подключичная вена	APPLY	Левая подключичная вена	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA4771	right superior epigastric vein			NO_MATCH	Правый верхняя надчревная вена	APPLY	Правая верхняя надчревная вена	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA4772	right musculophrenic vein			NO_MATCH	Правый мышечно-диафрагмальная вена	APPLY	Правая мышечно-диафрагмальная вена	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA4785	left superior epigastric vein			NO_MATCH	Левый верхняя надчревная вена	APPLY	Левая верхняя надчревная вена	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA4786	left musculophrenic vein			NO_MATCH	Левый мышечно-диафрагмальная вена	APPLY	Левая мышечно-диафрагмальная вена	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA4797	left superior intercostal vein	vena intercostalis superior sinistra	left superior intercostal vein	EXACT	Левый верхняя межрёберная вена	APPLY	Левая верхняя межрёберная вена	Exact TA2 mapping and unambiguous Russian correction; no source information is lost.	HIGH
FMA4838	azygos vein	vena azyga	azygos vein	EXACT	Непарная вена	KEEP	Непарная вена	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA4843	right ascending lumbar vein	vena lumbalis ascendens dextra	right ascending lumbar vein	EXACT	Правый восходящая поясничная вена	APPLY	Правая восходящая поясничная вена	Exact TA2 mapping and unambiguous Russian correction; no source information is lost.	HIGH
FMA4844	right subcostal vein	vena subcostalis dextra	right subcostal vein	EXACT	Правый подрёберная вена	APPLY	Правая подрёберная вена	Exact TA2 mapping and unambiguous Russian correction; no source information is lost.	HIGH
FMA4877	right superior intercostal vein	vena intercostalis superior dextra	right superior intercostal vein	EXACT	Правый верхняя межрёберная вена	APPLY	Правая верхняя межрёберная вена	Exact TA2 mapping and unambiguous Russian correction; no source information is lost.	HIGH
FMA4944	hemiazygos vein			NO_MATCH	Хэмиазйгос вена	KEEP	Хэмиазйгос вена	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA4950	left ascending lumbar vein	vena lumbalis ascendens sinistra	left ascending lumbar vein	EXACT	Левый восходящая поясничная вена	APPLY	Левая восходящая поясничная вена	Exact TA2 mapping and unambiguous Russian correction; no source information is lost.	HIGH
FMA4951	left subcostal vein	vena subcostalis sinistra	left subcostal vein	EXACT	Левый подрёберная вена	APPLY	Левая подрёберная вена	Exact TA2 mapping and unambiguous Russian correction; no source information is lost.	HIGH
FMA5011	accessory hemiazygos vein			NO_MATCH	Добавочная полунепарная вена	KEEP	Добавочная полунепарная вена	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA5018	bone organ			NO_MATCH	Костный орган	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA5022	muscle organ			NO_MATCH	Мышечный орган	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA5039	right costocervical trunk	truncus costocervicalis	costocervical trunk	PROBABLE	Правый рёберно-шейный туловище	APPLY	Правое рёберно-шейный туловище	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA5041	right second posterior intercostal artery	arteria intercostalis posterior secunda	second posterior intercostal artery	PROBABLE	Правый вторая задняя межрёберная артерия	APPLY	Правая вторая задняя межрёберная артерия	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA5042	right superior intercostal artery			NO_MATCH	Правый верхняя межрёберная артерия	APPLY	Правая верхняя межрёберная артерия	Candidate from QA (laterality; lost_information); requires final Russian terminology review before application.	MEDIUM
FMA5865	cranial nerve	nervus cranialis	cranial nerve	EXACT	Черепной нерв	KEEP	Черепной нерв	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA5884	ganglion			NO_MATCH	Ганглий	KEEP	Ганглий	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA5889	autonomic ganglion			NO_MATCH	Вегетативный ганглий	KEEP	Вегетативный ганглий	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA5894	parasympathetic ganglion	ganglion parasympathicum	parasympathetic ganglion	EXACT	Парасимпатическая ганглий	KEEP	Парасимпатическая ганглий	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA5895	cranial parasympathetic ganglion			NO_MATCH	Черепной парасимпатическая ганглий	KEEP	Черепной парасимпатическая ганглий	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA5897	anatomical space			NO_MATCH	Анатомическое пространство	KEEP	Анатомическое пространство	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA5898	anatomical junction			NO_MATCH	Анатомическое соединение	KEEP	Анатомическое соединение	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA5913	nerve trunk			NO_MATCH	Нерв туловище	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA6964	ciliary ganglion	ganglion ciliare	ciliary ganglion	EXACT	Ресничная ганглий	KEEP	Ресничная ганглий	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA7037	branch of ciliary ganglion			NO_MATCH	Ветвь ресничного узла	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA7041	short ciliary nerve			NO_MATCH	Короткая ресничная нерв	KEEP	Короткая ресничная нерв	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA7131	esophagus			NO_MATCH	Пищевод	KEEP	Пищевод	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA7145	membrane organ			NO_MATCH	Мембранозный орган	KEEP	Мембранозный орган	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA7146	organ component gland			NO_MATCH	Железа — компонент органа	KEEP	Железа — компонент органа	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA7148	stomach	gaster	stomach	EXACT	Желудок	KEEP	Желудок	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA7163	skin	cutis	skin	EXACT	Кожа	KEEP	Кожа	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA7196	spleen	splen	spleen	EXACT	Селезёнка	KEEP	Селезёнка	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA7198	pancreas	pancreas	pancreas	EXACT	Поджелудочная железа	KEEP	Поджелудочная железа	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA7202	gallbladder	vesica biliaris	gallbladder	EXACT	Желчный пузырь	KEEP	Желчный пузырь	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA7203	kidney	ren	kidney	EXACT	Почка	KEEP	Почка	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA7204	right kidney	ren	kidney	PROBABLE	Правая почка	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA7205	left kidney	ren	kidney	PROBABLE	Левая почка	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA7206	duodenum	duodenum	duodenum	EXACT	Дуодэнум	KEEP	Дуодэнум	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA7210	testis	testis	testis	EXACT	Яичко	KEEP	Яичко	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA7211	right testis	testis	testis	PROBABLE	Правое яичко	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA7212	left testis	testis	testis	PROBABLE	Левое яичко	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA7232	cusp of cardiac valve			NO_MATCH	Заслонка сердечного клапана	KEEP	Заслонка сердечного клапана	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA7237	leaflet of tricuspid valve			NO_MATCH	Створка трёхстворчатого клапана	KEEP	Створка трёхстворчатого клапана	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA7238	anterior leaflet of tricuspid valve			NO_MATCH	Передняя створка трёхстворчатого клапана	KEEP	Передняя створка трёхстворчатого клапана	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA7239	posterior leaflet of tricuspid valve			NO_MATCH	Задняя створка трёхстворчатого клапана	KEEP	Задняя створка трёхстворчатого клапана	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA7240	septal leaflet of tricuspid valve			NO_MATCH	Перегородочная створка трёхстворчатого клапана	KEEP	Перегородочная створка трёхстворчатого клапана	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA7241	leaflet of mitral valve			NO_MATCH	Створка митрального клапана	KEEP	Створка митрального клапана	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA7242	anterior leaflet of mitral valve			NO_MATCH	Передняя створка митрального клапана	KEEP	Передняя створка митрального клапана	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA7243	posterior leaflet of mitral valve			NO_MATCH	Задняя створка митрального клапана	KEEP	Задняя створка митрального клапана	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA7247	left anterior cusp of pulmonary valve			NO_MATCH	Левая передняя заслонка клапана лёгочного ствола	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA7248	cusp of pulmonary valve			NO_MATCH	Заслонка клапана лёгочного ствола	KEEP	Заслонка клапана лёгочного ствола	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
FMA7249	right anterior cusp of pulmonary valve			NO_MATCH	Правая передняя заслонка клапана лёгочного ствола	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA7250	posterior cusp of pulmonary valve			NO_MATCH	Задняя заслонка клапана лёгочного ствола	REVIEW		Needs external Russian anatomical terminology verification.	LOW
FMA7251	cusp of aortic valve			NO_MATCH	Заслонка аортального клапана	KEEP	Заслонка аортального клапана	No deterministic QA defect detected; normative Russian source not independently confirmed.	MEDIUM
